Sample,B6.PDA,P1.PDA,T22.PDA,MK1.PDA,B6.MEA,P1.MEA,T22.MEA,MK1.MEA,B6.SEA,P1.SEA,T22.SEA,MK1.SEA
Benzaldehyde,,,,,,,,,,,,2710755
3-Octanone,,,,1058979,,336918,,907479,,312843,,
Pentylfuran,1313539,359007,,,996690,,777279,,,,,
Phenethyl alcohol,,4299773,,15906287,,,,,,,,
Undecanone,,1642609,,,,250687,,55006,,42518,109873,
β-Cubebene,,,,,,,,,,,,4616269
β-Cedrene,,,,,,,,334333,,,,7261847
α-Bergamotene,533205,31071399,919368,31794168,540954,634335,231333,429169,,254913,,
(Z)-β-Farnesene,,2908697,,5488174,,1677474,,740869,,70009,,437848
6-Amyl-α-pyrone (6-PP),81610223,318612086,67508641,,84589796,32413587,8839386,,,,,
Acoradiene,,,,27329013,,1242470,107330,917652,502071,,543038,2144307
β-Himachalene,1788797,4523468,2544081,2788590,2489852,3557048,1525521,,294261,285010,327682,
β-Bisabolene,230134,3486049,1245801,9705556,695732,281322,786194,,561092,402145,,531834
Butylated Hydroxytoluene,,,,13631139,,1443447,1025845,1857777,482441,578131,248440,1071567
β-Sesquiphellandrene,,7656738,,7075718,,1558312,263561,208706,158190,225632,142378,484878
α-Longipinene,,,,1311755,,,,,,,,431898
Trans-Nerolidol,,3204081,,25895938,,896213,,81691,,459714,,368451
α-Bisabolol,,7237592,,,,2231040,327675,,178090,345413,193103,
γ-Eudesmol,727386,16887191,1191629,,1293419,8773999,704744,961052,,,,
"5,6,6-Trimethyl-3,4-undecadiene-2,10-dione  ",2447390,,3292809,,1250460,,844096,,,,,
Tricho-acorenol,261589,1991863,928994,39570040,,,,1986338,,,,30952402
Tricho-acorenone,,,,2970919,,,,194087,,,,630082
α-Cedrene,677762,2626078,530224,14919085,1601121,528434,844634,200240,,,,867009
Cembrene,274331,132359180,821578,10654594,355518,13691668,134555,687841,75897,751958,127297,534463
Verticillol,,18305407,,4761603,90326,2740477,119249,694657,61505,161700,,380883
