Time,B6.0H,B6.24H,B6.72H,B6.120H,B6.168H,P1.0H,P1.24H,P1.72H,P1.120H,P1.168H,MK1.0H,MK1.24H,MK1.72H,MK1.120H,MK1.168H,T22.0H,T22.24H,T22.72H,T22.120H,T22.168H
Verticillol,,60.53,564558.26,1622083.16,155004.99,,9352.71,13610.00,14149.07,2140.83,,1295069.68,409616.60,28832.67,3116.53,,,4547.72,9227.70,3576834.87
6-pentyl-2H-Pyran-2-one,,,587326.68,2180317.11,2898503.61,4906.82,94025.43,517188.09,6143.40,6290.88,,,,,,,,801793.96,3330087.54,1033073.09
Tricho-acorenol,57.56,,3281.30,6731.64,12476.24,401.41,3386.29,9809.81,230.94,81.20,560.95,44583106.95,14773836.08,1302001.20,780210.81,382.68,,2610.36,5471.95,10815.57
Tricho-acorenone,200.90,,370.37,689.32,1431.55,223.01,354.72,1064.94,,,191.83,130294.63,463799.50,111322.79,76304.68,,,321.20,503.86,972.60
Zingiberene,95.06,308.31,84127.42,1176207.70,2611416.78,135.02,39250.51,91160.95,1596.13,764.14,164.64,956748.20,134349.14,2244.61,3507.95,121.60,57.02,49292.63,111279.64,513245.06
β-Cedrene,283.67,900.45,122248.21,2602896.57,5321345.34,1335.98,314135.54,1028985.01,67539.99,15454.55,354.70,19418919.81,6391895.12,223755.62,212090.44,63.45,354.96,465398.45,1560414.14,759771.61
γ-Muurolene,38.30,887.78,384578.59,1771742.77,3783134.72,150.00,545649.69,649488.18,34645.69,117937.83,,39180.76,35463.83,43.20,,328.47,855.08,171841.09,941651.11,1990674.46
β-Sesquiphellandrene,122.46,795.16,158729.78,2084276.90,5201798.38,1380.22,184028.20,1130702.35,44900.60,14214.81,785.34,1215127.77,367750.91,5018.88,5605.87,180.40,226.71,356138.87,1151241.63,855104.51
β-Bisabolene,,113.24,15462.53,287490.51,664705.55,601.16,16203.98,39985.48,15153.20,22597.46,,645411.45,381001.48,7913.47,6380.07,,,11441.93,80328.07,286436.49
β-Chamigrene,105.01,,371423.41,241222.15,202097.37,77.49,6483.21,25776.79,15898.13,2463.58,59.55,585061.20,45091.18,1646.11,967.25,,,5116.50,11461.83,2417548.14
Curcumene,,60.40,7990.19,769197.34,927863.29,1606.61,42945.07,310014.76,13017.97,4453.21,159.99,6971710.95,3379042.57,73856.87,72195.71,257.79,,34401.92,65795.73,119575.26
β-Himachalene,,,2480.08,88142.01,257083.31,166.13,17906.67,33207.07,1309.81,639.95,,4742126.97,701825.79,35383.80,25396.57,,,11177.08,13471.06,9501.37
Thujopsene,,,776.16,109629.49,184605.44,1073.57,1266.47,5011.03,160.20,80.84,56.88,1419878.97,169610.75,16392.80,9027.06,,,3373.27,5343.57,4733.35
Cedr-8-ene  ,,,356.82,52684.99,131514.13,296.39,2129.69,5546.54,277.81,93.62,,28194.46,27401.54,333.65,562.33,,,1170.87,3472.26,8043.89
"1,2,2,6,8-Pentamethyl-7-oxabicyclo[4.3.1]dec-8-en-10-one",,,900.42,43430.37,156805.96,109.48,416.34,2057.63,276.14,449.56,64.53,351.34,312.05,,,,,672.73,5712.24,32830.76
Phenylethyl Alcohol,,,3829.19,34191.45,125209.42,,,44348.33,5929.30,30981.57,,5210.96,59871.29,14011.21,21763.70,,,,,1320.50
α-Cubebene,113.92,,183.39,1458.59,3390.42,87.90,1029.51,2034.94,,,246.15,2918076.88,5685274.54,248051.28,103307.34,225.15,,403.95,1381.53,1995.75
α-Longipinene,142.91,,5632.05,4894.57,3596.81,,20146.10,12569.66,323.91,195.74,143.89,28276310.79,11369661.59,369128.58,297619.79,102.02,,376.66,262.94,31824.25
γ-Cadinene,93.87,,,146.66,184.13,,96.95,2227.81,57.89,,,8229112.60,2776936.54,119271.54,116171.30,,,54.63,,157.84
Isocaryophillene,226.85,,1473.10,6420.70,13450.94,95.97,168277.56,141157.39,3585.63,6112.65,257.98,2281856.27,1999322.95,160484.69,99134.94,115.23,,1058.66,2567.02,5496.61
(+)-Aromadendrene,,,256.01,768.36,428.85,,1118.92,3108.34,,,,30651666.39,4942545.87,311868.12,300755.35,,,,47.31,2118.41
δ-Elemene,,109.50,26549.94,367638.10,367074.75,185.74,34000.59,190296.60,8637.99,1553.72,126.79,22336357.11,1248482.15,109969.36,149127.94,120.24,,47447.98,180945.13,143123.30
α-Pinene,,,477.54,477.24,271.30,,1450.76,609.55,,33.09,,1114981.76,389990.70,13493.58,12098.96,,,,,3798.80
β-Terpinene,,,1447.96,12679.69,8429.04,,2903.68,1227.01,,,57.80,735202.30,61583.23,2807.67,4330.89,,,1106.22,1548.19,5082.29
α-Bergamotene,,155.75,8714.53,989353.70,3258272.88,417.21,15595.83,7407.10,1576.92,1898.69,,1319058.58,321973.79,8148.64,6907.40,,134.74,12075.66,26859.49,408722.84
Santalene,,,638.14,268.92,209.77,,265.42,174.74,,,,565555.84,64134.99,2194.02,1764.09,49.63,,155.27,,1845.79
