Time,B6.0H,B6.24H,B6.72H,B6.120H,B6.168H,P1.0H,P1.24H,P1.72H,P1.120H,P1.168H,MK1.0H,MK1.24H,MK1.72H,MK1.120H,MK1.168H,T22.0H,T22.24H,T22.72H,T22.120H,T22.168H
6-Pentyl-2H-pyran-2-one  ,,,,,,,,,,,,,,,,,,2372963.00,1643102.00,822217.67
Ethylhexanol,36491.00,52772.33,67346.00,56359.67,61763.00,32727.00,47071.67,63369.33,46824.00,42082.67,16286.33,37318.33,12951.33,25596.33,12618.67,17532.00,38644.33,38714.00,73490.00,77457.00
Bergamotene,,25659.00,11695.33,2537.00,28471.67,,,,,,,,,,,,170.33,,,
δ-Elemene,,,,,,,,,,,,24830.50,211590.88,383981.17,165880.96,,,,,
Acoradiene,,363.42,,,,,,,,,,15354.47,164295.46,322231.54,101746.64,,,340.01,149.50,76.70
β-Cedrene,366.90,,,,,,,,,,,140176.51,1174665.38,2085701.86,848849.24,,,,,
Tricho-acorenol,872.22,,,,,,,39.86,,,,233683.06,1648050.37,3473816.15,2666830.97,,,,,
"2-Methyl-6-methylene-1,7-octadien-3-one  ",,,,,,,,,,,,2486.44,34312.32,48629.13,21482.51,,,133.58,144.91,
"8,9-Dimethylene-4-oxatricyclo[5.2.1.0(2,6)]decane",4557.84,,36.77,,,,,250737.34,,,,3562.92,53389.17,90170.32,31037.27,,,261450.23,222040.03,123198.85
Epizonarene,,,,,,,,,,,,753.28,16463.88,32456.97,13219.63,,,,,
Cedrene,,,,,,,,,,,,76140.28,645985.38,1123882.14,450490.12,,,,,
"4-Allyl-1,6-heptadiene-4-ol",,,,,,,,,,,,272.54,10274.90,20735.14,7614.34,,,,,
α-Cubebene,,,,,,,,,,,,213.69,5042.17,17471.35,14692.10,,,,,
"3-Methyl-1-phenyl-2,5-pyrrolidinedione  ",,,,,,,,133669.06,,,,,,,,,,125055.12,104199.16,38407.24
Bicyclosesquiphellandrene,,,,,,,,92715.61,,,,,,85.92,,,,108714.89,90669.22,51932.07
β-Patchoulene,,,,,,,,,,,,388.26,10494.59,17032.81,5433.77,,,,,
2-Methylbenzyl 4-methylbenzoate  ,70.09,,,,,,,,,,,45890.14,362744.76,945788.91,341848.31,,,,,
